BR 0,0,0,0,0,0,0
BR 0,0,0,0,0,0,1
BR 0,0,0,0,0,0,2
BR 0,0,0,0,0,0,3
R 0,0,0,1,0,0,0
R 0,0,0,1,0,0,1
R 0,0,0,1,0,0,2
R 0,0,0,1,0,0,3
BW 0,0,0,1,0,0,0
BW 0,0,0,1,0,0,1
BW 0,0,0,1,0,0,2
BW 0,0,0,1,0,0,3
BR 0,0,0,0,0,0,4
BR 0,0,0,0,0,0,5
BR 0,0,0,0,0,0,6
BR 0,0,0,0,0,0,7
R 0,0,0,1,0,0,4
R 0,0,0,1,0,0,5
R 0,0,0,1,0,0,6
R 0,0,0,1,0,0,7
BW 0,0,0,1,0,0,4
BW 0,0,0,1,0,0,5
BW 0,0,0,1,0,0,6
BW 0,0,0,1,0,0,7
BR 0,0,0,0,0,0,8
BR 0,0,0,0,0,0,9
BR 0,0,0,0,0,0,10
BR 0,0,0,0,0,0,11
R 0,0,0,1,0,0,8
R 0,0,0,1,0,0,9
R 0,0,0,1,0,0,10
R 0,0,0,1,0,0,11
BW 0,0,0,1,0,0,8
BW 0,0,0,1,0,0,9
BW 0,0,0,1,0,0,10
BW 0,0,0,1,0,0,11
BR 0,0,0,0,0,0,12
BR 0,0,0,0,0,0,13
BR 0,0,0,0,0,0,14
BR 0,0,0,0,0,0,15
R 0,0,0,1,0,0,12
R 0,0,0,1,0,0,13
R 0,0,0,1,0,0,14
R 0,0,0,1,0,0,15
BW 0,0,0,1,0,0,12
BW 0,0,0,1,0,0,13
BW 0,0,0,1,0,0,14
BW 0,0,0,1,0,0,15
BR 0,0,0,0,0,0,16
BR 0,0,0,0,0,0,17
BR 0,0,0,0,0,0,18
BR 0,0,0,0,0,0,19
R 0,0,0,1,0,0,16
R 0,0,0,1,0,0,17
R 0,0,0,1,0,0,18
R 0,0,0,1,0,0,19
BW 0,0,0,1,0,0,16
BW 0,0,0,1,0,0,17
BW 0,0,0,1,0,0,18
BW 0,0,0,1,0,0,19
BR 0,0,0,0,0,0,20
BR 0,0,0,0,0,0,21
BR 0,0,0,0,0,0,22
BR 0,0,0,0,0,0,23
